Entity,Code,Year,"Civil liberties index (best estimate, aggregate: average)"
Brazil,BRA,1900,0.429
Brazil,BRA,1901,0.429
Brazil,BRA,1902,0.423
Brazil,BRA,1903,0.423
Brazil,BRA,1904,0.43
Brazil,BRA,1905,0.437
Brazil,BRA,1906,0.437
Brazil,BRA,1907,0.437
Brazil,BRA,1908,0.437
Brazil,BRA,1909,0.437
Brazil,BRA,1910,0.44
Brazil,BRA,1911,0.44
Brazil,BRA,1912,0.44
Brazil,BRA,1913,0.44
Brazil,BRA,1914,0.44
Brazil,BRA,1915,0.44
Brazil,BRA,1916,0.44
Brazil,BRA,1917,0.44
Brazil,BRA,1918,0.44
Brazil,BRA,1919,0.44
Brazil,BRA,1920,0.44
Brazil,BRA,1921,0.44
Brazil,BRA,1922,0.437
Brazil,BRA,1923,0.435
Brazil,BRA,1924,0.435
Brazil,BRA,1925,0.435
Brazil,BRA,1926,0.435
Brazil,BRA,1927,0.437
Brazil,BRA,1928,0.437
Brazil,BRA,1929,0.437
Brazil,BRA,1930,0.41
Brazil,BRA,1931,0.394
Brazil,BRA,1932,0.393
Brazil,BRA,1933,0.393
Brazil,BRA,1934,0.395
Brazil,BRA,1935,0.387
Brazil,BRA,1936,0.387
Brazil,BRA,1937,0.264
Brazil,BRA,1938,0.252
Brazil,BRA,1939,0.254
Brazil,BRA,1940,0.254
Brazil,BRA,1941,0.254
Brazil,BRA,1942,0.254
Brazil,BRA,1943,0.254
Brazil,BRA,1944,0.254
Brazil,BRA,1945,0.365
Brazil,BRA,1946,0.564
Brazil,BRA,1947,0.569
Brazil,BRA,1948,0.566
Brazil,BRA,1949,0.571
Brazil,BRA,1950,0.573
Brazil,BRA,1951,0.573
Brazil,BRA,1952,0.573
Brazil,BRA,1953,0.573
Brazil,BRA,1954,0.57
Brazil,BRA,1955,0.6
Brazil,BRA,1956,0.607
Brazil,BRA,1957,0.607
Brazil,BRA,1958,0.607
Brazil,BRA,1959,0.605
Brazil,BRA,1960,0.606
Brazil,BRA,1961,0.612
Brazil,BRA,1962,0.611
Brazil,BRA,1963,0.613
Brazil,BRA,1964,0.33
Brazil,BRA,1965,0.231
Brazil,BRA,1966,0.223
Brazil,BRA,1967,0.222
Brazil,BRA,1968,0.216
Brazil,BRA,1969,0.206
Brazil,BRA,1970,0.207
Brazil,BRA,1971,0.211
Brazil,BRA,1972,0.211
Brazil,BRA,1973,0.211
Brazil,BRA,1974,0.214
Brazil,BRA,1975,0.217
Brazil,BRA,1976,0.231
Brazil,BRA,1977,0.231
Brazil,BRA,1978,0.242
Brazil,BRA,1979,0.338
Brazil,BRA,1980,0.383
Brazil,BRA,1981,0.383
Brazil,BRA,1982,0.387
Brazil,BRA,1983,0.387
Brazil,BRA,1984,0.397
Brazil,BRA,1985,0.555
Brazil,BRA,1986,0.705
Brazil,BRA,1987,0.731
Brazil,BRA,1988,0.804
Brazil,BRA,1989,0.808
Brazil,BRA,1990,0.819
Brazil,BRA,1991,0.819
Brazil,BRA,1992,0.821
Brazil,BRA,1993,0.821
Brazil,BRA,1994,0.823
Brazil,BRA,1995,0.825
Brazil,BRA,1996,0.825
Brazil,BRA,1997,0.825
Brazil,BRA,1998,0.825
Brazil,BRA,1999,0.825
Brazil,BRA,2000,0.825
Brazil,BRA,2001,0.825
Brazil,BRA,2002,0.836
Brazil,BRA,2003,0.836
Brazil,BRA,2004,0.836
Brazil,BRA,2005,0.867
Brazil,BRA,2006,0.868
Brazil,BRA,2007,0.868
Brazil,BRA,2008,0.868
Brazil,BRA,2009,0.868
Brazil,BRA,2010,0.868
Brazil,BRA,2011,0.868
Brazil,BRA,2012,0.867
Brazil,BRA,2013,0.865
Brazil,BRA,2014,0.865
Brazil,BRA,2015,0.862
Brazil,BRA,2016,0.838
Brazil,BRA,2017,0.821
Brazil,BRA,2018,0.785
Brazil,BRA,2019,0.695
Brazil,BRA,2020,0.683
Brazil,BRA,2021,0.666
Brazil,BRA,2022,0.671
Brazil,BRA,2023,0.848
Brazil,BRA,2024,0.85
China,CHN,1900,0.128
China,CHN,1901,0.131
China,CHN,1902,0.131
China,CHN,1903,0.131
China,CHN,1904,0.136
China,CHN,1905,0.137
China,CHN,1906,0.145
China,CHN,1907,0.145
China,CHN,1908,0.145
China,CHN,1909,0.145
China,CHN,1910,0.145
China,CHN,1911,0.144
China,CHN,1912,0.239
China,CHN,1913,0.324
China,CHN,1914,0.314
China,CHN,1915,0.313
China,CHN,1916,0.317
China,CHN,1917,0.319
China,CHN,1918,0.319
China,CHN,1919,0.319
China,CHN,1920,0.315
China,CHN,1921,0.317
China,CHN,1922,0.317
China,CHN,1923,0.317
China,CHN,1924,0.317
China,CHN,1925,0.317
China,CHN,1926,0.32
China,CHN,1927,0.272
China,CHN,1928,0.259
China,CHN,1929,0.261
China,CHN,1930,0.257
China,CHN,1931,0.257
China,CHN,1932,0.257
China,CHN,1933,0.257
China,CHN,1934,0.257
China,CHN,1935,0.257
China,CHN,1936,0.257
China,CHN,1937,0.257
China,CHN,1938,0.273
China,CHN,1939,0.269
China,CHN,1940,0.269
China,CHN,1941,0.269
China,CHN,1942,0.269
China,CHN,1943,0.269
China,CHN,1944,0.269
China,CHN,1945,0.269
China,CHN,1946,0.256
China,CHN,1947,0.258
China,CHN,1948,0.258
China,CHN,1949,0.142
China,CHN,1950,0.082
China,CHN,1951,0.081
China,CHN,1952,0.081
China,CHN,1953,0.081
China,CHN,1954,0.081
China,CHN,1955,0.088
China,CHN,1956,0.076
China,CHN,1957,0.063
China,CHN,1958,0.062
China,CHN,1959,0.062
China,CHN,1960,0.07
China,CHN,1961,0.071
China,CHN,1962,0.071
China,CHN,1963,0.071
China,CHN,1964,0.071
China,CHN,1965,0.07
China,CHN,1966,0.039
China,CHN,1967,0.04
China,CHN,1968,0.04
China,CHN,1969,0.037
China,CHN,1970,0.04
China,CHN,1971,0.04
China,CHN,1972,0.045
China,CHN,1973,0.048
China,CHN,1974,0.048
China,CHN,1975,0.048
China,CHN,1976,0.048
China,CHN,1977,0.064
China,CHN,1978,0.121
China,CHN,1979,0.228
China,CHN,1980,0.249
China,CHN,1981,0.254
China,CHN,1982,0.254
China,CHN,1983,0.254
China,CHN,1984,0.254
China,CHN,1985,0.254
China,CHN,1986,0.262
China,CHN,1987,0.265
China,CHN,1988,0.265
China,CHN,1989,0.238
China,CHN,1990,0.219
China,CHN,1991,0.222
China,CHN,1992,0.239
China,CHN,1993,0.241
China,CHN,1994,0.248
China,CHN,1995,0.251
China,CHN,1996,0.261
China,CHN,1997,0.261
China,CHN,1998,0.262
China,CHN,1999,0.262
China,CHN,2000,0.267
China,CHN,2001,0.273
China,CHN,2002,0.283
China,CHN,2003,0.299
China,CHN,2004,0.298
China,CHN,2005,0.29
China,CHN,2006,0.29
China,CHN,2007,0.295
China,CHN,2008,0.292
China,CHN,2009,0.288
China,CHN,2010,0.287
China,CHN,2011,0.283
China,CHN,2012,0.282
China,CHN,2013,0.26
China,CHN,2014,0.244
China,CHN,2015,0.26
China,CHN,2016,0.25
China,CHN,2017,0.245
China,CHN,2018,0.22
China,CHN,2019,0.212
China,CHN,2020,0.195
China,CHN,2021,0.193
China,CHN,2022,0.175
China,CHN,2023,0.173
China,CHN,2024,0.186
Europe,,1900,0.67624
Europe,,1901,0.67712
Europe,,1902,0.67648
Europe,,1903,0.67664
Europe,,1904,0.67644
Europe,,1905,0.68027997
Europe,,1906,0.68299997
Europe,,1907,0.68216
Europe,,1908,0.681
Europe,,1909,0.68104
Europe,,1910,0.6832
Europe,,1911,0.6842
Europe,,1912,0.67346156
Europe,,1913,0.67057693
Europe,,1914,0.6355769
Europe,,1915,0.62473077
Europe,,1916,0.62107694
Europe,,1917,0.6223846
Europe,,1918,0.6417
Europe,,1919,0.6833
Europe,,1920,0.70651615
Europe,,1921,0.7123226
Europe,,1922,0.7109677
Europe,,1923,0.7001935
Europe,,1924,0.69825804
Europe,,1925,0.68987095
Europe,,1926,0.6814194
Europe,,1927,0.67212903
Europe,,1928,0.6722903
Europe,,1929,0.6712581
Europe,,1930,0.66758066
Europe,,1931,0.6772258
Europe,,1932,0.68122584
Europe,,1933,0.6526452
Europe,,1934,0.6288387
Europe,,1935,0.62274194
Europe,,1936,0.6071613
Europe,,1937,0.5978387
Europe,,1938,0.5915484
